año,tipo,superficie
2018,Parque,1032.80
2017,Parque,1006.20
2016,Parque,1002.00
2015,Parque,998.80
2014,Parque,1025.30
2013,Parque,1007.70
2012,Parque,1116.10
2011,Parque,1135.60
2018,Plaza,386.30
2017,Plaza,381.80
2016,Plaza,376.90
2015,Plaza,369.10
2014,Plaza,368.50
2013,Plaza,355.00
2012,Plaza,358.80
2011,Plaza,353.60
2018,Plazoleta,78.90
2017,Plazoleta,77.90
2016,Plazoleta,77.80
2015,Plazoleta,77.70
2014,Plazoleta,77.10
2013,Plazoleta,77.10
2012,Plazoleta,79.60
2011,Plazoleta,80.40
2018,Cantero,119.90
2017,Cantero,119.40
2016,Cantero,119.17
2015,Cantero,115.90
2014,Cantero,117.80
2013,Cantero,116.80
2012,Cantero,117.80
2011,Cantero,117.10
2018,Jardín,222.70
2017,Jardín,222.80
2016,Jardín,222.75
2015,Jardín,222.75
2014,Jardín,222.70
2013,Jardín,222.80
2012,Jardín,223.10
2011,Jardín,223.50
2018,Otro,30.80
2017,Otro,29.00
2016,Otro,27.41
2015,Otro,23.00
2014,Otro,23.00
2013,Otro,23.00
2012,Otro,21.50
2011,Otro,14.20
