WKT,id,año,mes,lugar,direccion,cant_lamp,cant_hog,ahorro_ene,emisiones,dom_norma,dom_geo
"POINT (-58.3800932195354 -34.5842378257095)","922","2017",noviembre,Portal Barrio 31,CALLE 10 y DEL INMIGRANTE,"2805","710","785.4","0.37","VILLA 31 BIS, GALPON 1","VILLA 31 BIS, GALPON 1"
"POINT (-58.3800932195354 -34.5842378257095)","923","2017",diciembre,Portal Barrio 31,CALLE 10 y DEL INMIGRANTE,"1992","500","557.76","0.26","VILLA 31 BIS, GALPON 1","VILLA 31 BIS, GALPON 1"
"POINT (-58.3800932195354 -34.5842378257095)","924","2018",marzo,Portal Barrio 31,CALLE 10 y DEL INMIGRANTE,"173","48","48.44","0.02","VILLA 31 BIS, GALPON 1","VILLA 31 BIS, GALPON 1"
"POINT (-58.3800932195354 -34.5842378257095)","925","2018",abril,Portal Barrio 31,CALLE 10 y DEL INMIGRANTE,"720","180","201.6","0.09","VILLA 31 BIS, GALPON 1","VILLA 31 BIS, GALPON 1"
"POINT (-58.3800932195354 -34.5842378257095)","926","2018",mayo,Portal Barrio 31,CALLE 10 y DEL INMIGRANTE,"400","100","112","0.05","VILLA 31 BIS, GALPON 1","VILLA 31 BIS, GALPON 1"
"POINT (-58.4550471525991 -34.6560413646328)","933","2019",julio,Portal Barrio Ramón Carrillo,MARIANO ACOSTA y PASAJE I,"67","17","18.76","0.01",MARIANO ACOSTA y PASAJE I,MARIANO ACOSTA & PASAJE I
"POINT (-58.4550471525991 -34.6560413646328)","934","2019",agosto,Portal Barrio Ramón Carrillo,MARIANO ACOSTA y PASAJE I,"113","33","31.64","0.01",MARIANO ACOSTA y PASAJE I,MARIANO ACOSTA & PASAJE I
"POINT (-58.4550471525991 -34.6560413646328)","935","2019",septiembre,Portal Barrio Ramón Carrillo,MARIANO ACOSTA y PASAJE I,"65","18","18.2","0.01",MARIANO ACOSTA y PASAJE I,MARIANO ACOSTA & PASAJE I
"POINT (-58.4550471525991 -34.6560413646328)","936","2019",octubre,Portal Barrio Ramón Carrillo,MARIANO ACOSTA y PASAJE I,"116","27","32.48","0.02",MARIANO ACOSTA y PASAJE I,MARIANO ACOSTA & PASAJE I
"POINT (-58.4550471525991 -34.6560413646328)","937","2019",noviembre,Portal Barrio Ramón Carrillo,MARIANO ACOSTA y PASAJE I,"96","25","26.88","0.01",MARIANO ACOSTA y PASAJE I,MARIANO ACOSTA & PASAJE I
"POINT (-58.4550471525991 -34.6560413646328)","938","2019",diciembre,Portal Barrio Ramón Carrillo,MARIANO ACOSTA y PASAJE I,"0","0","0","0.00",MARIANO ACOSTA y PASAJE I,MARIANO ACOSTA & PASAJE I
"POINT (-58.4676123301009 -34.6642253307704)","960","2019",enero,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"4679","1130","1310.12","0.62",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","961","2019",febrero,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"4316","985","1208.48","0.57",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","962","2019",marzo,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"6169","1481","1727.32","0.81",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","963","2019",abril,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"3521","854","985.88","0.46",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","964","2019",mayo,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"736","195","206.08","0.10",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","965","2019",junio,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"2425","599","679","0.32",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","966","2019",julio,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"618","140","173.04","0.08",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","967","2019",agosto,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"27","6","7.56","0.00",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","968","2019",septiembre,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"1413","348","395.64","0.19",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","969","2019",octubre,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"2076","521","581.28","0.27",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","970","2019",noviembre,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"1806","464","505.68","0.24",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","971","2019",diciembre,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"44","12","12.32","0.01",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
"POINT (-58.4676123301009 -34.6642253307704)","972","2018",diciembre,Puntos Verdes Móviles,CASTAÑARES AV. y ESCALADA AV.,"6","1","1756.16","0.83",CASTAÑARES AV. y ESCALADA AV.,CASTAÑARES AV. & ESCALDA  AV.
