subsector;sector;año_emision;alcance_1;alcance_2;alcance_3
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2000;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2001;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2002;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2003;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2004;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2005;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2006;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2007;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2008;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2009;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2010;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2011;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2012;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2013;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2014;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2015;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2016;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2017;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2018;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2019;;;
Actividades de agricultura, Forestación y otros usos de la tierra;Energía;2020;;;
Agua residual generada en la ciudad;Residuos;2000;78.477;;280.524
Agua residual generada en la ciudad;Residuos;2001;76.618;;258.575
Agua residual generada en la ciudad;Residuos;2002;73.831;;263.168
Agua residual generada en la ciudad;Residuos;2003;77.345;;267.716
Agua residual generada en la ciudad;Residuos;2004;82.235;;273.477
Agua residual generada en la ciudad;Residuos;2005;93.669;;280.443
Agua residual generada en la ciudad;Residuos;2006;96.788;;281.751
Agua residual generada en la ciudad;Residuos;2007;110.646;;282.632
Agua residual generada en la ciudad;Residuos;2008;108.021;;283.170
Agua residual generada en la ciudad;Residuos;2009;107.288;;283.495
Agua residual generada en la ciudad;Residuos;2010;99.208;;287.268
Agua residual generada en la ciudad;Residuos;2011;96.121;;288.123
Agua residual generada en la ciudad;Residuos;2012;97.910;;289.115
Agua residual generada en la ciudad;Residuos;2013;93.769;;290.388
Agua residual generada en la ciudad;Residuos;2014;98.162;;291.529
Agua residual generada en la ciudad;Residuos;2015;100.741;;292.812
Agua residual generada en la ciudad;Residuos;2016;89.437;;293.798
Agua residual generada en la ciudad;Residuos;2017;94.081;;294.806
Agua residual generada en la ciudad;Residuos;2018;74.926;;295.439
Agua residual generada en la ciudad;Residuos;2019;80.302;;296.019
Agua residual generada en la ciudad;Residuos;2020;71.432;;296.368
Agua residual generada fuera de la ciudad;Residuos;2000;;;
Agua residual generada fuera de la ciudad;Residuos;2001;;;
Agua residual generada fuera de la ciudad;Residuos;2002;;;
Agua residual generada fuera de la ciudad;Residuos;2003;;;
Agua residual generada fuera de la ciudad;Residuos;2004;;;
Agua residual generada fuera de la ciudad;Residuos;2005;;;
Agua residual generada fuera de la ciudad;Residuos;2006;;;
Agua residual generada fuera de la ciudad;Residuos;2007;;;
Agua residual generada fuera de la ciudad;Residuos;2008;;;
Agua residual generada fuera de la ciudad;Residuos;2009;;;
Agua residual generada fuera de la ciudad;Residuos;2010;;;
Agua residual generada fuera de la ciudad;Residuos;2011;;;
Agua residual generada fuera de la ciudad;Residuos;2012;;;
Agua residual generada fuera de la ciudad;Residuos;2013;;;
Agua residual generada fuera de la ciudad;Residuos;2014;;;
Agua residual generada fuera de la ciudad;Residuos;2015;;;
Agua residual generada fuera de la ciudad;Residuos;2016;;;
Agua residual generada fuera de la ciudad;Residuos;2017;;;
Agua residual generada fuera de la ciudad;Residuos;2018;;;
Agua residual generada fuera de la ciudad;Residuos;2019;;;
