año;Sector;Fuente;valor;;;;;
2000;Residuos;Agua residuales; 359.001 ;;;;;
2001;Residuos;Agua residuales; 335.193 ;;;;;
2002;Residuos;Agua residuales; 336.999 ;;;;;
2003;Residuos;Agua residuales; 345.061 ;;;;;
2004;Residuos;Agua residuales; 355.712 ;;;;;
2005;Residuos;Agua residuales; 374.112 ;;;;;
2006;Residuos;Agua residuales; 378.539 ;;;;;
2007;Residuos;Agua residuales; 393.278 ;;;;;
2008;Residuos;Agua residuales; 391.191 ;;;;;
2009;Residuos;Agua residuales; 390.782 ;;;;;
2010;Residuos;Agua residuales; 386.476 ;;;;;
2011;Residuos;Agua residuales; 384.244 ;;;;;
2012;Residuos;Agua residuales; 387.025 ;;;;;
2013;Residuos;Agua residuales; 384.157 ;;;;;
2014;Residuos;Agua residuales; 389.691 ;;;;;
2015;Residuos;Agua residuales; 393.553 ;;;;;
2016;Residuos;Agua residuales; 383.235 ;;;;;
2017;Residuos;Agua residuales; 388.887 ;;;;;
2018;Residuos;Agua residuales; 370.364 ;;;;;
2019;Residuos;Agua residuales; 376.320 ;;;;;
2020;Residuos;Agua residuales; 367.800 ;;;;;
2000;Transporte;Biodiesel; -   ;;;;;
2001;Transporte;Biodiesel; -   ;;;;;
2002;Transporte;Biodiesel; -   ;;;;;
2003;Transporte;Biodiesel; -   ;;;;;
2004;Transporte;Biodiesel; -   ;;;;;
2005;Transporte;Biodiesel; -   ;;;;;
2006;Transporte;Biodiesel; -   ;;;;;
2007;Transporte;Biodiesel; -   ;;;;;
2008;Transporte;Biodiesel; -   ;;;;;
2009;Transporte;Biodiesel; -   ;;;;;
2010;Transporte;Biodiesel; 981 ;;;;;
2011;Transporte;Biodiesel; 1.335 ;;;;;
2012;Transporte;Biodiesel; 1.580 ;;;;;
2013;Transporte;Biodiesel; 1.961 ;;;;;
2014;Transporte;Biodiesel; 1.739 ;;;;;
2015;Transporte;Biodiesel; 1.744 ;;;;;
2016;Transporte;Biodiesel; 1.856 ;;;;;
2017;Transporte;Biodiesel; 2.057 ;;;;;
2018;Transporte;Biodiesel; 1.989 ;;;;;
2019;Transporte;Biodiesel; 1.977 ;;;;;
2020;Transporte;Biodiesel; 774 ;;;;;
2000;Transporte;Diesel; 1.497.828 ;;;;;
2001;Transporte;Diesel; 1.769.988 ;;;;;
2002;Transporte;Diesel; 1.745.402 ;;;;;
2003;Transporte;Diesel; 1.738.032 ;;;;;
2004;Transporte;Diesel; 1.617.641 ;;;;;
2005;Transporte;Diesel; 1.451.944 ;;;;;
2006;Transporte;Diesel; 1.359.852 ;;;;;
2007;Transporte;Diesel; 1.542.317 ;;;;;
2008;Transporte;Diesel; 1.532.759 ;;;;;
