WKT,id,tipo,ubicacion,direccion,horario,observ_pri,calle,altura,cruce,dom_norma,dom_geo
"POINT (-58.3759555851374 -34.6221988758339)","1",punto verde fijo,Plaza Rosario Vera Peñaloza,Av. San Juan y Chacabuco,Miércoles a Domingo de 11 a 19 hs.,,San Juan,,Chacabuco,SAN JUAN AV. y CHACABUCO,SAN JUAN AV. & CHACABUCO
"POINT (-58.3838707119237 -34.5979695453983)","2",punto verde fijo,Plaza Libertad,Paraguay y Libertad,Miércoles a Domingo de 11 a 19 hs.,,Paraguay,,Libertad,PARAGUAY y LIBERTAD,PARAGUAY & LIBERTAD
"POINT (-58.391410856937 -34.5988220083475)","3",punto verde fijo,Plaza Petronila Rodríguez,Rodriguez Peña y Paraguay,Miércoles a Domingo de 11 a 19 hs.,,Rodriguez Peña,,Paraguay,RODRIGUEZ PEÑA y PARAGUAY,RODRIGUEZ PEÑA & PARAGUAY
"POINT (-58.3967997943963 -34.5880099838196)","4",punto verde fijo,Plaza Emilio Mitre,Av. General Las Heras y Cantilo,Miércoles a Domingo de 11 a 19 hs.,,General Las Heras,,Cantilo,LAS HERAS GENERAL AV. y CANTILO,LAS HERAS GENERAL AV. & CANTILO
"POINT (-58.4078380584346 -34.5979170075104)","5",punto verde fijo,Plaza Monseñor De Andrea,Anchorena y Av. Córdoba,Miércoles a Domingo de 11 a 19 hs.,,Anchorena,,Córdoba,"ANCHORENA, TOMAS MANUEL DE, DR. y CORDOBA AV.","ANCHORENA, TOMAS MANUEL DE, DR. & CORDOBA AV."
"POINT (-58.4085449547963 -34.6260546776409)","6",punto verde fijo,Plaza Martín Fierro,General Urquiza y Cochabamba,Miércoles a Domingo de 11 a 19 hs.,,General Urquiza,,Cochabamba,"URQUIZA, GRAL. y COCHABAMBA","URQUIZA, GRAL. & COCHABAMBA"
"POINT (-58.4038163711591 -34.6172212185082)","7",punto verde fijo,Plaza José María Velazco Ibarra,Av. Jujuy y México,Miércoles a Domingo de 11 a 19 hs.,,Jujuy,,México,JUJUY AV. y MEXICO,JUJUY AV. & MEXICO
"POINT (-58.3673738487152 -34.6399997868503)","8",punto verde fijo,Plaza Matheu,General Araoz Lamadrid y Hernandarias,Miércoles a Domingo de 11 a 19 hs.,,General Araoz de Lamadrid,,Hernandarias,"ARAOZ DE LAMADRID, GREGORIO, GRAL. y HERNANDARIAS","ARAOZ DE LAMADRID, GREGORIO, GRAL. & HERNANDARIAS"
"POINT (-58.415956143186 -34.6520678653934)","9",punto verde fijo,Plaza Nueva Pompeya,Av. Saenz y Traful,Miércoles a Domingo de 11 a 19 hs.,,Saenz,,Traful,SAENZ AV. y TRAFUL,SAENZ AV. & TRAFUL
"POINT (-58.392446786065 -34.6275975673969)","10",punto verde fijo,Polo Circo,Av. Juan de Garay y Pichincha,Miércoles a Domingo de 11 a 19 hs.,,Juan de Garay,,Combate de los Pozos,"GARAY, JUAN DE AV. y COMBATE DE LOS POZOS","GARAY, JUAN DE AV. & COMBATE DE LOS POZOS"
